Continent,Country,City
Asia,Afghanistan,Kabul
Asia,Armenia,Yerevan
Asia,Azerbaijan,Baku
Asia,Bahrain,Manama
Asia,Bangladesh,Dhaka
Asia,Bhutan,Thimphu
Asia,Brunei,Bandar Seri Begawan
Asia,Myanmar (Burma),Naypyidaw
Asia,Cambodia,Phnom Penh
Asia,China,Beijing
Asia,East Timor (Timor-Leste),Dili
Asia,Georgia,Tbilisi
Asia,India,New Delhi
Asia,Indonesia,Jakarta
Asia,Iran,Tehran
Asia,Iraq,Baghdad
Asia,Israel,Jerusalem
Asia,Japan,Tokyo
Asia,Jordan,Amman
Asia,Kazakhstan,Nur-Sultan
Asia,North Korea,Pyongyang
Asia,South Korea,Seoul
Asia,Kuwait,Kuwait City
Asia,Kyrgyzstan,Bishkek
Asia,Laos,Vientiane
Asia,Lebanon,Beirut
Asia,Malaysia,Kuala Lumpur
Asia,Maldives,Male
Asia,Mongolia,Ulaanbaatar
Asia,Nepal,Kathmandu
Asia,Oman,Muscat
Asia,Pakistan,Islamabad
Asia,Philippines,Manila
Asia,Qatar,Doha
Asia,Saudi Arabia,Riyadh
Asia,Singapore,Singapore
Asia,Sri Lanka,Colombo
Asia,Syria,Damascus
Asia,Tajikistan,Dushanbe
Asia,Thailand,Bangkok
Asia,Turkey,Ankara
Asia,Turkmenistan,Ashgabat
Asia,United Arab Emirates,Abu Dhabi
Asia,Uzbekistan,Tashkent
Asia,Vietnam,Hanoi
Asia,Yemen,Sana'a
Oceania,Australia,Canberra
Oceania,Fiji,Suva
Oceania,Kiribati,South Tarawa
Oceania,Marshall Islands,Majuro
Oceania,Micronesia,Palikir
Oceania,Nauru,Yaren
Oceania,New Zealand,Wellington
Oceania,Palau,Ngerulmud
Oceania,Papua New Guinea,Port Moresby
Oceania,Samoa,Apia
Oceania,Solomon Islands,Honiara
Oceania,Tonga,Nuku'alofa
Oceania,Tuvalu,Funafuti
Oceania,Vanuatu,Port Vila
Africa,Algeria,Algiers
Africa,Angola,Luanda
Africa,Benin,Porto-Novo
Africa,Botswana,Gaborone
Africa,Burkina Faso,Ouagadougou
Africa,Burundi,Gitega
Africa,Cabo Verde,Praia
Africa,Cameroon,Yaoundé
Africa,Central African Republic,Bangui
Africa,Chad,N'Djamena
Africa,Comoros,Moroni
Africa,Democratic Republic of the Congo,Kinshasa
Africa,Republic of the Congo,Brazzaville
Africa,Djibouti,Djibouti
Africa,Egypt,Cairo
Africa,Equatorial Guinea,Malabo
Africa,Eritrea,Asmara
Africa,Eswatini,Mbabane
Africa,Ethiopia,Addis Ababa
Africa,Gabon,Libreville
Africa,Gambia,Banjul
Africa,Ghana,Accra
Africa,Guinea,Conakry
Africa,Guinea-Bissau,Bissau
Africa,Ivory Coast,Yamoussoukro
Africa,Kenya,Nairobi
Africa,Lesotho,Maseru
Africa,Liberia,Monrovia
Africa,Libya,Tripoli
Africa,Madagascar,Antananarivo
Africa,Malawi,Lilongwe
Africa,Mali,Bamako
Africa,Mauritania,Nouakchott
Africa,Mauritius,Port Louis
Africa,Morocco,Rabat
Africa,Mozambique,Maputo
Africa,Namibia,Windhoek
Africa,Niger,Niamey
Africa,Nigeria,Abuja
Africa,Rwanda,Kigali
Africa,Sao Tome and Principe,São Tomé
Africa,Senegal,Dakar
Africa,Seychelles,Victoria
Africa,Sierra Leone,Freetown
Africa,Somalia,Mogadishu
Africa,South Africa,Pretoria
Africa,South Sudan,Juba
Africa,Sudan,Khartoum
Africa,Tanzania,Dodoma
Africa,Togo,Lomé
Africa,Tunisia,Tunis
Africa,Uganda,Kampala
Africa,Zambia,Lusaka
Africa,Zimbabwe,Harare

